day,timestamp,n_trades,symbols
1,437100,10,"VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,155400,10,"VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,423800,7,"HYDROGEL_PACK,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,877600,7,"VELVETFRUIT_EXTRACT,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,699400,7,"HYDROGEL_PACK,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,524000,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,498100,6,"HYDROGEL_PACK,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,564300,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,720500,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,431900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,483400,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,451300,6,"HYDROGEL_PACK,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,222400,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,252500,6,"HYDROGEL_PACK,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,988100,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,489700,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,128700,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,554600,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,834400,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,169000,6,"HYDROGEL_PACK,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,363100,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,666500,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,890900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,428900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,705400,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,370100,6,"VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300"
2,519600,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,369800,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,511800,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,516400,6,"HYDROGEL_PACK,VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,269000,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,16700,6,"VEV_4000,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,433100,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,555100,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,622500,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,14800,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,328700,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,642100,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,624400,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,414900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,943900,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,98900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,320200,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,535900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,710500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,92200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,225500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,728500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,807800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,878300,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,190100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,588200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,142700,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,189100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,390300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,329200,5,"VEV_5200,VEV_5300,VEV_5500,VEV_6000,VEV_6500"
3,730000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,442200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,319700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,547600,5,"VELVETFRUIT_EXTRACT,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,948500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,364700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,701200,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,317200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,195600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,785100,5,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_6000,VEV_6500"
3,315800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,495700,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,808800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,350300,5,"VEV_5200,VEV_5300,VEV_5500,VEV_6000,VEV_6500"
3,807400,5,"VELVETFRUIT_EXTRACT,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,32900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,204400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,812600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,894300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,948500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,150600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,289400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,711900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,779200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,290900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,365600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,839800,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,350700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,950300,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,172500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,443600,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,826200,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,535400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,332600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,460400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,764000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,126600,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,785800,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,741100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,135900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,389000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,604600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,777600,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,868300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,137700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,793900,5,"VELVETFRUIT_EXTRACT,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,753700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,864100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,346200,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,820200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,461200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,725000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,358500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,321600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,456200,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,531500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,529600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,587100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,604100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,617900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,580600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,674000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,459800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,636100,5,"VEV_5200,VEV_5300,VEV_5500,VEV_6000,VEV_6500"
2,836300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,584300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,40400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,385400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,977300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,627700,5,"VEV_5200,VEV_5300,VEV_5400,VEV_6000,VEV_6500"
2,555700,5,"VELVETFRUIT_EXTRACT,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,671900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,239400,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,79300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,642500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,396000,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,218300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,75200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,45100,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,391400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,671800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,220800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,618300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,634500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,289300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,631500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,983300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,631300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,389100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,376600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,501900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,320800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,708800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,20900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,612700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,568900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,33600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,85300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,918500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,700300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,129700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,876500,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,588500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,872600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,689900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,826400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,993800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,519500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,74100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,243700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,456600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,624200,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,793100,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500"
1,741900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,253000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,235300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,754200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,614800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,377900,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500"
3,47200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,275200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,746300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,763500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,102600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,784100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,40200,4,"VEV_5300,VEV_5400,VEV_6000,VEV_6500"
3,54400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,556400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,621000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,398200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,788300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,410400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,268900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,399700,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,583100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,428000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,347800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,715000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,322600,4,"VEV_5200,VEV_5500,VEV_6000,VEV_6500"
3,565600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,322000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,825900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,341400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,45600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,703200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,684000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,23500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,310100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,316700,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,317500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,13100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,304000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,87300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,29500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,376300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,766900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,37000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,735100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,898600,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500"
1,654200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,287100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,287600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,362600,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500"
3,74300,4,"VEV_5300,VEV_5400,VEV_6000,VEV_6500"
3,666500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,350300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,69900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,41900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,455700,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,70100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,294600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,678700,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,70300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,42900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,253400,4,"VEV_5200,VEV_5500,VEV_6000,VEV_6500"
1,567200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,166000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,250200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,842200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,644500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,153000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,997100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,642400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,524000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,851200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,901100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,837500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,865400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,622600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,553100,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500"
1,848900,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500"
3,144800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,120300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,688600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,691100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,574800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,801800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,508800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,937300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,86100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,800400,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500"
1,921000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,798100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,89800,4,"VEV_5300,VEV_5400,VEV_6000,VEV_6500"
1,943100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,171800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,145500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,132100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,575800,4,"VELVETFRUIT_EXTRACT,VEV_5500,VEV_6000,VEV_6500"
3,937000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,483900,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500"
1,43400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,977300,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500"
3,118700,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,476500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,977500,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500"
3,937400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,593000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,9600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,551600,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500"
2,410200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,50700,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,415500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,760000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,748500,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500"
2,105500,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500"
1,52800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,726600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,170400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,170500,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500"
2,566700,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,733200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
1,4500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,575100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,934900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
3,485500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500"
2,972800,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500"
