day,timestamp,n_trades,n_products,buy_orchestrator,sell_orchestrator,dominant_pair_buyer,dominant_pair_seller,fwd20_ex
1,4500,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-4.0
1,9600,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-5.0
1,11800,3,3,Mark 01,Mark 22,Mark 01,Mark 22,-3.0
1,14800,6,6,Mark 01,Mark 22,Mark 01,Mark 55,-4.0
1,16700,6,6,Mark 01,Mark 22,Mark 14,Mark 38,-4.5
1,38500,3,3,Mark 01,Mark 22,Mark 01,Mark 22,2.0
1,40400,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-2.0
1,43400,4,4,Mark 01,Mark 22,Mark 01,Mark 22,8.5
1,50700,4,4,Mark 01,Mark 22,Mark 01,Mark 22,2.0
1,52800,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-3.0
1,53400,3,3,Mark 01,Mark 22,Mark 14,Mark 22,5.0
1,74100,5,5,Mark 01,Mark 22,Mark 01,Mark 22,3.0
1,85300,5,5,Mark 01,Mark 22,Mark 14,Mark 22,4.5
1,86100,4,4,Mark 01,Mark 22,Mark 01,Mark 22,3.5
1,89800,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-2.0
1,120300,4,4,Mark 01,Mark 22,Mark 01,Mark 22,6.5
1,127200,3,3,Mark 01,Mark 22,Mark 01,Mark 22,0.5
1,135900,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-5.5
1,145500,4,4,Mark 01,Mark 22,Mark 01,Mark 22,7.0
1,150600,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-9.0
1,153000,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-3.0
1,170400,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-1.0
1,170500,4,4,Mark 01,Mark 22,Mark 14,Mark 22,1.0
1,172500,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-5.5
1,190100,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-1.5
1,195600,5,5,Mark 01,Mark 22,Mark 01,Mark 22,1.0
1,206200,3,3,Mark 01,Mark 22,Mark 14,Mark 22,3.5
1,235300,4,4,Mark 01,Mark 22,Mark 01,Mark 22,5.0
1,252500,6,6,Mark 01,Mark 22,Mark 14,Mark 38,0.0
1,304000,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-1.5
1,310100,4,4,Mark 01,Mark 22,Mark 14,Mark 22,-4.0
1,322000,4,4,Mark 01,Mark 22,Mark 01,Mark 22,2.0
1,322600,4,4,Mark 01,Mark 22,Mark 14,Mark 22,-4.0
1,350300,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-1.5
1,376600,5,5,Mark 01,Mark 22,Mark 01,Mark 22,2.0
1,377900,4,4,Mark 01,Mark 22,Mark 14,Mark 22,3.0
1,399700,4,4,Mark 01,Mark 22,Mark 01,Mark 22,5.0
1,410400,4,4,Mark 01,Mark 22,Mark 01,Mark 22,0.0
1,428000,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-2.0
1,437100,10,10,Mark 01,Mark 22,Mark 38,Mark 22,5.0
1,455700,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-5.0
1,460400,5,5,Mark 01,Mark 22,Mark 01,Mark 22,6.0
1,476500,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-3.0
1,489700,6,6,Mark 01,Mark 22,Mark 14,Mark 55,5.0
1,502700,3,3,Mark 01,Mark 22,Mark 01,Mark 22,5.0
1,519500,5,5,Mark 01,Mark 22,Mark 01,Mark 22,0.0
1,524000,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-5.0
1,547600,3,3,Mark 01,Mark 22,Mark 01,Mark 22,2.5
1,548400,3,3,Mark 01,Mark 22,Mark 01,Mark 22,-2.0
1,553100,4,4,Mark 01,Mark 22,Mark 01,Mark 22,2.0
1,564300,6,6,Mark 01,Mark 22,Mark 14,Mark 22,4.5
1,567200,4,4,Mark 01,Mark 22,Mark 01,Mark 22,4.5
1,568900,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-2.0
1,574800,4,4,Mark 01,Mark 22,Mark 01,Mark 22,1.0
1,575800,4,4,Mark 01,Mark 22,Mark 67,Mark 22,3.5
1,588200,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-4.0
1,604600,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-4.5
1,617900,5,5,Mark 01,Mark 22,Mark 01,Mark 22,0.0
1,618300,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-1.5
1,624400,6,6,Mark 01,Mark 22,Mark 14,Mark 22,-7.0
1,631700,3,3,Mark 01,Mark 22,Mark 01,Mark 22,-3.0
1,636100,5,5,Mark 01,Mark 22,Mark 14,Mark 22,-11.0
1,642100,6,6,Mark 01,Mark 22,Mark 14,Mark 22,-2.0
1,654200,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-1.0
1,674000,5,5,Mark 01,Mark 22,Mark 01,Mark 22,5.0
1,684000,4,4,Mark 01,Mark 22,Mark 01,Mark 22,2.5
1,701200,5,5,Mark 01,Mark 22,Mark 38,Mark 14,8.0
1,703200,4,4,Mark 01,Mark 22,Mark 01,Mark 22,3.5
1,710500,5,5,Mark 01,Mark 22,Mark 14,Mark 22,6.0
1,715000,4,4,Mark 01,Mark 22,Mark 01,Mark 22,2.0
1,720500,6,6,Mark 14,Mark 22,Mark 14,Mark 55,-3.0
1,725000,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-8.0
1,735100,4,4,Mark 01,Mark 22,Mark 14,Mark 22,-8.0
1,741900,4,4,Mark 01,Mark 22,Mark 01,Mark 22,4.0
1,746300,4,4,Mark 01,Mark 22,Mark 14,Mark 22,-4.5
1,754200,4,4,Mark 01,Mark 22,Mark 01,Mark 22,5.0
1,760000,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-4.0
1,785800,5,5,Mark 01,Mark 22,Mark 14,Mark 38,4.0
1,798100,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-4.0
1,800400,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-5.5
1,801800,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-6.0
1,807800,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-4.5
1,812600,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-6.0
1,813000,3,3,Mark 01,Mark 22,Mark 01,Mark 22,-4.0
1,824800,3,3,Mark 01,Mark 22,Mark 01,Mark 22,-4.0
1,848900,4,4,Mark 14,Mark 22,Mark 14,Mark 22,-2.0
1,851200,4,4,Mark 01,Mark 22,Mark 01,Mark 22,9.0
1,865400,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-5.5
1,868800,3,3,Mark 01,Mark 22,Mark 01,Mark 22,-4.0
1,901100,4,4,Mark 01,Mark 22,Mark 01,Mark 22,7.5
1,921000,4,4,Mark 01,Mark 22,Mark 01,Mark 22,3.0
1,928400,3,3,Mark 01,Mark 22,Mark 01,Mark 22,-9.0
1,937300,4,4,Mark 01,Mark 22,Mark 01,Mark 22,4.0
1,943100,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-1.0
1,948500,5,5,Mark 01,Mark 22,Mark 01,Mark 22,4.0
1,950300,5,5,Mark 01,Mark 22,Mark 14,Mark 38,7.0
1,988100,6,6,Mark 01,Mark 22,Mark 14,Mark 22,4.0
1,990300,3,3,Mark 01,Mark 22,Mark 01,Mark 22,4.5
2,13100,4,4,Mark 01,Mark 22,Mark 01,Mark 22,2.5
2,20900,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-2.5
2,23500,4,4,Mark 01,Mark 22,Mark 01,Mark 22,2.5
2,29500,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-5.0
2,41900,4,4,Mark 01,Mark 22,Mark 01,Mark 22,0.0
2,42900,4,4,Mark 01,Mark 22,Mark 01,Mark 22,3.0
2,45100,5,5,Mark 01,Mark 22,Mark 38,Mark 14,1.5
2,52900,3,3,Mark 01,Mark 22,Mark 01,Mark 22,-3.5
2,75200,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-3.0
2,79300,5,5,Mark 01,Mark 22,Mark 14,Mark 22,7.0
2,102600,4,4,Mark 01,Mark 22,Mark 14,Mark 22,-3.5
2,105500,4,4,Mark 01,Mark 22,Mark 01,Mark 22,3.5
2,129700,5,5,Mark 01,Mark 22,Mark 01,Mark 22,2.5
2,169000,6,6,Mark 01,Mark 22,Mark 38,Mark 14,-1.0
2,171800,4,4,Mark 01,Mark 22,Mark 01,Mark 22,3.0
2,189100,5,5,Mark 01,Mark 22,Mark 01,Mark 22,2.0
2,204400,5,5,Mark 01,Mark 22,Mark 01,Mark 22,6.0
2,225500,5,5,Mark 01,Mark 22,Mark 14,Mark 22,-4.0
2,239400,5,5,Mark 01,Mark 22,Mark 14,Mark 38,11.0
2,253000,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-2.0
2,268900,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-2.5
2,272000,3,3,Mark 01,Mark 22,Mark 01,Mark 22,0.0
2,275200,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-5.0
2,287100,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-3.0
2,287600,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-1.5
2,289300,5,5,Mark 01,Mark 22,Mark 14,Mark 22,-1.0
2,294600,4,4,Mark 01,Mark 22,Mark 01,Mark 22,4.5
2,316700,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-6.0
2,317500,4,4,Mark 01,Mark 22,Mark 01,Mark 22,0.0
2,320800,5,5,Mark 01,Mark 22,Mark 01,Mark 22,1.0
2,321600,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-0.5
2,341400,4,4,Mark 01,Mark 22,Mark 01,Mark 22,2.0
2,347800,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-0.5
2,350700,5,5,Mark 01,Mark 22,Mark 14,Mark 22,-7.5
2,358500,5,5,Mark 01,Mark 22,Mark 01,Mark 22,3.5
2,362600,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-4.0
2,365600,5,5,Mark 01,Mark 22,Mark 01,Mark 22,2.0
2,373800,3,3,Mark 01,Mark 22,Mark 01,Mark 22,3.0
2,376300,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-5.0
2,389000,5,5,Mark 01,Mark 22,Mark 01,Mark 22,2.0
2,390300,5,5,Mark 01,Mark 22,Mark 01,Mark 22,6.0
2,398200,4,4,Mark 01,Mark 22,Mark 01,Mark 22,1.0
2,410200,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-5.0
2,414900,6,6,Mark 01,Mark 22,Mark 14,Mark 22,9.0
2,415500,4,4,Mark 01,Mark 22,Mark 01,Mark 22,5.0
2,423800,7,7,Mark 01,Mark 22,Mark 38,Mark 14,5.0
2,433100,6,6,Mark 01,Mark 22,Mark 14,Mark 22,-1.5
2,443600,5,5,Mark 01,Mark 22,Mark 14,Mark 22,11.5
2,456200,5,5,Mark 01,Mark 22,Mark 14,Mark 22,3.0
2,461200,5,5,Mark 01,Mark 22,Mark 14,Mark 22,4.5
2,483400,6,6,Mark 01,Mark 22,Mark 55,Mark 01,-3.5
2,495700,5,5,Mark 01,Mark 22,Mark 14,Mark 38,0.5
2,501900,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-5.5
2,508800,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-0.5
2,519600,6,6,Mark 01,Mark 22,Mark 14,Mark 22,-2.0
2,548600,3,3,Mark 01,Mark 22,Mark 01,Mark 22,-0.5
2,554600,6,6,Mark 01,Mark 22,Mark 14,Mark 55,-1.0
2,555700,5,5,Mark 01,Mark 22,Mark 14,Mark 55,-3.0
2,566700,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-1.0
2,575100,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-7.0
2,587100,5,5,Mark 01,Mark 22,Mark 14,Mark 22,3.0
2,588500,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-1.5
2,593000,4,4,Mark 01,Mark 22,Mark 01,Mark 22,3.0
2,604100,5,5,Mark 01,Mark 22,Mark 01,Mark 22,7.0
2,622600,4,4,Mark 01,Mark 22,Mark 01,Mark 22,3.0
2,642400,4,4,Mark 01,Mark 22,Mark 01,Mark 22,1.0
2,644500,4,4,Mark 01,Mark 22,Mark 01,Mark 22,2.0
2,666500,6,6,Mark 01,Mark 22,Mark 14,Mark 22,5.5
2,688600,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-2.0
2,691100,4,4,Mark 01,Mark 22,Mark 01,Mark 22,1.0
2,695800,3,3,Mark 01,Mark 22,Mark 01,Mark 22,6.0
2,711900,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-7.0
2,726600,4,4,Mark 01,Mark 22,Mark 01,Mark 22,2.0
2,733200,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-1.5
2,748500,4,4,Mark 01,Mark 22,Mark 01,Mark 22,1.0
2,763500,4,4,Mark 01,Mark 22,Mark 01,Mark 22,5.5
2,764000,5,5,Mark 01,Mark 22,Mark 14,Mark 22,-2.0
2,779200,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-6.0
2,793900,5,5,Mark 01,Mark 22,Mark 67,Mark 22,-1.0
2,808800,5,5,Mark 01,Mark 22,Mark 14,Mark 22,-9.0
2,825900,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-3.5
2,826400,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-0.5
2,836300,5,5,Mark 01,Mark 22,Mark 14,Mark 22,0.0
2,872600,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-1.0
2,876500,5,5,Mark 01,Mark 22,Mark 14,Mark 22,7.0
2,898600,4,4,Mark 01,Mark 22,Mark 01,Mark 22,2.0
2,910900,3,3,Mark 01,Mark 22,Mark 01,Mark 22,5.5
2,924200,3,3,Mark 01,Mark 22,Mark 01,Mark 22,-6.0
2,934900,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-6.0
2,948000,3,3,Mark 01,Mark 22,Mark 01,Mark 22,-2.0
2,948500,5,5,Mark 01,Mark 22,Mark 14,Mark 22,-2.0
2,972800,4,4,Mark 01,Mark 22,Mark 14,Mark 22,0.0
2,977300,4,4,Mark 01,Mark 22,Mark 14,Mark 22,1.0
2,977500,4,4,Mark 01,Mark 22,Mark 01,Mark 22,1.0
2,993800,5,5,Mark 01,Mark 22,Mark 01,Mark 22,9.0
3,32900,5,5,Mark 01,Mark 22,Mark 01,Mark 22,2.5
3,33600,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-1.0
3,37000,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-9.0
3,40200,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-10.5
3,45600,4,4,Mark 01,Mark 22,Mark 01,Mark 22,1.0
3,47200,4,4,Mark 01,Mark 22,Mark 01,Mark 22,1.0
3,54400,4,4,Mark 01,Mark 22,Mark 01,Mark 22,3.0
3,69900,4,4,Mark 01,Mark 22,Mark 01,Mark 22,8.0
3,70100,4,4,Mark 01,Mark 22,Mark 01,Mark 22,10.0
3,70300,4,4,Mark 01,Mark 22,Mark 01,Mark 22,7.0
3,74300,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-1.0
3,87300,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-1.5
3,92200,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-2.5
3,98900,6,6,Mark 01,Mark 22,Mark 14,Mark 22,0.0
3,118700,4,4,Mark 01,Mark 22,Mark 01,Mark 22,10.0
3,126600,5,5,Mark 01,Mark 22,Mark 14,Mark 38,-2.0
3,128700,6,6,Mark 01,Mark 22,Mark 01,Mark 22,9.0
3,132100,4,4,Mark 01,Mark 22,Mark 01,Mark 22,5.0
3,137700,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-4.0
3,142700,5,5,Mark 01,Mark 22,Mark 38,Mark 14,3.0
3,144800,4,4,Mark 01,Mark 22,Mark 01,Mark 22,3.0
3,155400,10,10,Mark 38,Mark 22,Mark 38,Mark 22,-6.0
3,166000,4,4,Mark 01,Mark 22,Mark 01,Mark 22,3.5
3,172300,3,3,Mark 01,Mark 22,Mark 01,Mark 22,-2.0
3,218300,5,5,Mark 01,Mark 22,Mark 01,Mark 22,4.0
3,220800,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-6.0
3,222400,6,6,Mark 01,Mark 22,Mark 01,Mark 22,1.0
3,243700,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-1.0
3,250200,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-1.0
3,253400,4,4,Mark 01,Mark 22,Mark 14,Mark 22,-2.5
3,269000,6,6,Mark 01,Mark 22,Mark 14,Mark 22,-6.5
3,273400,3,3,Mark 01,Mark 22,Mark 01,Mark 22,4.0
3,289400,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-7.0
3,290900,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-1.0
3,315800,5,5,Mark 01,Mark 22,Mark 01,Mark 22,2.0
3,317200,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-3.0
3,319700,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-3.0
3,320200,6,6,Mark 01,Mark 22,Mark 55,Mark 01,1.5
3,328700,6,6,Mark 01,Mark 22,Mark 14,Mark 22,8.0
3,329200,5,5,Mark 01,Mark 22,Mark 14,Mark 22,6.5
3,332600,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-5.0
3,346200,5,5,Mark 01,Mark 22,Mark 14,Mark 38,-6.0
3,350300,5,5,Mark 01,Mark 22,Mark 14,Mark 22,-4.0
3,363100,6,6,Mark 01,Mark 22,Mark 01,Mark 22,-1.5
3,364700,5,5,Mark 01,Mark 22,Mark 01,Mark 22,0.0
3,369800,6,6,Mark 01,Mark 22,Mark 14,Mark 22,4.0
3,370100,6,6,Mark 22,Mark 38,Mark 22,Mark 38,6.0
3,385400,5,5,Mark 01,Mark 22,Mark 01,Mark 22,5.0
3,389100,5,5,Mark 01,Mark 22,Mark 01,Mark 22,7.0
3,391400,5,5,Mark 01,Mark 22,Mark 01,Mark 22,0.5
3,396000,5,5,Mark 01,Mark 22,Mark 14,Mark 22,-1.0
3,428900,6,6,Mark 01,Mark 22,Mark 14,Mark 22,-4.5
3,431900,6,6,Mark 01,Mark 22,Mark 01,Mark 22,2.0
3,442200,5,5,Mark 01,Mark 22,Mark 01,Mark 22,3.0
3,451300,6,6,Mark 01,Mark 22,Mark 38,Mark 14,-1.0
3,456600,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-2.0
3,459800,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-2.0
3,483900,4,4,Mark 01,Mark 22,Mark 01,Mark 22,7.0
3,485500,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-6.0
3,498100,6,6,Mark 01,Mark 22,Mark 14,Mark 38,-3.0
3,511800,6,6,Mark 01,Mark 22,Mark 01,Mark 22,5.0
3,516400,6,6,Mark 01,Mark 22,Mark 38,Mark 14,-2.0
3,524000,6,6,Mark 01,Mark 22,Mark 01,Mark 22,0.0
3,529600,5,5,Mark 01,Mark 22,Mark 14,Mark 22,-1.0
3,531500,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-3.0
3,535400,5,5,Mark 01,Mark 22,Mark 01,Mark 22,4.0
3,535900,6,6,Mark 01,Mark 22,Mark 01,Mark 22,7.0
3,547600,5,5,Mark 01,Mark 22,Mark 55,Mark 01,3.0
3,551600,4,4,Mark 01,Mark 22,Mark 01,Mark 22,5.0
3,555100,6,6,Mark 01,Mark 22,Mark 14,Mark 22,-2.0
3,556400,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-1.0
3,565600,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-0.5
3,580600,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-1.0
3,583100,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-5.0
3,584300,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-6.0
3,612700,5,5,Mark 01,Mark 22,Mark 01,Mark 22,8.0
3,614800,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-6.5
3,621000,4,4,Mark 01,Mark 22,Mark 01,Mark 22,3.5
3,622500,6,6,Mark 01,Mark 22,Mark 14,Mark 22,2.0
3,624200,5,5,Mark 01,Mark 22,Mark 14,Mark 22,12.0
3,627700,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-9.5
3,631300,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-3.5
3,631500,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-4.0
3,634500,5,5,Mark 01,Mark 22,Mark 14,Mark 22,3.0
3,642500,5,5,Mark 01,Mark 22,Mark 01,Mark 22,8.0
3,666500,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-1.0
3,666700,3,3,Mark 01,Mark 22,Mark 01,Mark 22,-1.5
3,671800,5,5,Mark 01,Mark 22,Mark 01,Mark 22,11.5
3,671900,5,5,Mark 01,Mark 22,Mark 01,Mark 22,8.0
3,678700,4,4,Mark 01,Mark 22,Mark 01,Mark 22,1.5
3,689900,5,5,Mark 01,Mark 22,Mark 01,Mark 22,4.5
3,699400,7,7,Mark 01,Mark 22,Mark 14,Mark 38,-1.0
3,700300,5,5,Mark 01,Mark 22,Mark 14,Mark 22,0.0
3,705400,6,6,Mark 01,Mark 22,Mark 14,Mark 22,0.0
3,708800,5,5,Mark 01,Mark 22,Mark 01,Mark 22,11.0
3,728500,5,5,Mark 01,Mark 22,Mark 14,Mark 22,-3.0
3,730000,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-9.5
3,741100,5,5,Mark 01,Mark 22,Mark 01,Mark 22,4.0
3,753700,5,5,Mark 01,Mark 22,Mark 01,Mark 22,4.0
3,766900,4,4,Mark 01,Mark 22,Mark 01,Mark 22,1.5
3,777600,5,5,Mark 01,Mark 22,Mark 01,Mark 22,0.5
3,784100,4,4,Mark 01,Mark 22,Mark 01,Mark 22,5.5
3,785100,5,5,Mark 01,Mark 22,Mark 55,Mark 14,5.5
3,788300,4,4,Mark 01,Mark 22,Mark 01,Mark 22,-2.0
3,793100,4,4,Mark 01,Mark 22,Mark 01,Mark 22,1.0
3,807400,5,5,Mark 01,Mark 22,Mark 55,Mark 14,2.0
3,820200,5,5,Mark 01,Mark 22,Mark 01,Mark 22,0.0
3,826200,5,5,Mark 01,Mark 22,Mark 14,Mark 22,2.0
3,834400,6,6,Mark 01,Mark 22,Mark 14,Mark 22,-4.0
3,837500,4,4,Mark 01,Mark 22,Mark 01,Mark 22,2.5
3,839800,5,5,Mark 01,Mark 22,Mark 14,Mark 22,-6.0
3,842200,4,4,Mark 01,Mark 22,Mark 01,Mark 22,6.0
3,864100,5,5,Mark 01,Mark 22,Mark 01,Mark 22,3.0
3,868300,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-3.0
3,877600,7,7,Mark 01,Mark 22,Mark 55,Mark 14,-4.0
3,878300,5,5,Mark 01,Mark 22,Mark 14,Mark 22,-9.5
3,890900,6,6,Mark 01,Mark 22,Mark 01,Mark 22,9.0
3,894300,5,5,Mark 01,Mark 22,Mark 01,Mark 22,0.0
3,918500,5,5,Mark 01,Mark 22,Mark 01,Mark 22,5.0
3,937000,4,4,Mark 01,Mark 22,Mark 01,Mark 22,2.0
3,937400,4,4,Mark 01,Mark 22,Mark 01,Mark 22,0.0
3,943900,6,6,Mark 01,Mark 22,Mark 55,Mark 14,2.0
3,977300,5,5,Mark 01,Mark 22,Mark 01,Mark 22,-7.0
3,983300,5,5,Mark 01,Mark 22,Mark 14,Mark 22,0.0
3,997100,4,4,Mark 01,Mark 22,Mark 01,Mark 22,0.0
