day,timestamp,n,symbols,buyers,sellers
1,4500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,9600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,11800,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,14800,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,"Mark 22,Mark 55"
1,16700,6,"VEV_4000,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14","Mark 22,Mark 38"
1,38500,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,40400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,43400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,50700,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,52800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,53400,3,"VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
1,74100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,85300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
1,86100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,89800,4,"VEV_5300,VEV_5400,VEV_6000,VEV_6500",Mark 01,Mark 22
1,120300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,127200,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,135900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,145500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,150600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,153000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,170400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,170500,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
1,172500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,190100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,195600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,206200,3,"VEV_5400,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
1,235300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,252500,6,"HYDROGEL_PACK,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14","Mark 22,Mark 38"
1,304000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,310100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
1,322000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,322600,4,"VEV_5200,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
1,350300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,376600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,377900,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
1,399700,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,410400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,428000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,437100,10,"VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 38",Mark 22
1,455700,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,460400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
1,476500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,489700,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14","Mark 22,Mark 55"
1,502700,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,519500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,524000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
1,547600,3,"VEV_5400,VEV_6000,VEV_6500",Mark 01,Mark 22
1,548400,3,"VEV_5400,VEV_6000,VEV_6500",Mark 01,Mark 22
1,553100,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,564300,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
1,567200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,568900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,574800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,575800,4,"VELVETFRUIT_EXTRACT,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 67",Mark 22
1,588200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,604600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,617900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,618300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,624400,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
1,631700,3,"VEV_5400,VEV_6000,VEV_6500",Mark 01,Mark 22
1,636100,5,"VEV_5200,VEV_5300,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
1,642100,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
1,654200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,674000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,684000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,701200,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 38","Mark 14,Mark 22"
1,703200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,710500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
1,715000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,720500,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14","Mark 22,Mark 55"
1,725000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,735100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
1,741900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,746300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
1,754200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,760000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,785800,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14","Mark 22,Mark 38"
1,798100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,800400,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,801800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,807800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,812600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,813000,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,824800,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,848900,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
1,851200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,865400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,868800,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,901100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,921000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,928400,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,937300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,943100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,948500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
1,950300,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14","Mark 22,Mark 38"
1,988100,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
1,990300,3,"VEV_5400,VEV_6000,VEV_6500",Mark 01,Mark 22
2,13100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,20900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,23500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,29500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,41900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,42900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,45100,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14,Mark 38","Mark 14,Mark 22"
2,52900,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,75200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,79300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,102600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,105500,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,129700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,169000,6,"HYDROGEL_PACK,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 38","Mark 14,Mark 22"
2,171800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,189100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,204400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,225500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,239400,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14","Mark 22,Mark 38"
2,253000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,268900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,272000,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,275200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,287100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,287600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,289300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,294600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,316700,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,317500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,320800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,321600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,341400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,347800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,350700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,358500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,362600,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,365600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,373800,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,376300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,389000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,390300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,398200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,410200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,414900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,415500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,423800,7,"HYDROGEL_PACK,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14,Mark 38","Mark 14,Mark 22"
2,433100,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,443600,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,456200,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,461200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,483400,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14,Mark 55","Mark 01,Mark 22"
2,495700,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14","Mark 22,Mark 38"
2,501900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,508800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,519600,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,548600,3,"VEV_5300,VEV_6000,VEV_6500",Mark 01,Mark 22
2,554600,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14","Mark 22,Mark 55"
2,555700,5,"VELVETFRUIT_EXTRACT,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14","Mark 22,Mark 55"
2,566700,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,575100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,587100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,588500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,593000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,604100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
