day,timestamp,n,symbols,buyers,sellers
2,622600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,642400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,644500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,666500,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,688600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,691100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,695800,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,711900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,726600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,733200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,748500,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,763500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,764000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,779200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,793900,5,"VELVETFRUIT_EXTRACT,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 67",Mark 22
2,808800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,825900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,826400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,836300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,872600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,876500,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,898600,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,910900,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,924200,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,934900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,948000,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,948500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,972800,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,977300,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
2,977500,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
2,993800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,32900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,33600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,37000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,40200,4,"VEV_5300,VEV_5400,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,45600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,47200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,54400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,69900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,70100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,70300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,74300,4,"VEV_5300,VEV_5400,VEV_6000,VEV_6500",Mark 01,Mark 22
3,87300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,92200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,98900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,118700,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,126600,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14","Mark 22,Mark 38"
3,128700,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,132100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,137700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,142700,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 38","Mark 14,Mark 22"
3,144800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,155400,10,"VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 38",Mark 22
3,166000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,172300,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,218300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,220800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,222400,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,243700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,250200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,253400,4,"VEV_5200,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,269000,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,273400,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,289400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,290900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,315800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,317200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,319700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,320200,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14,Mark 55","Mark 01,Mark 22"
3,328700,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,329200,5,"VEV_5200,VEV_5300,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,332600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,346200,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14","Mark 22,Mark 38"
3,350300,5,"VEV_5200,VEV_5300,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,363100,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,364700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,369800,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,370100,6,"VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300",Mark 22,Mark 38
3,385400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,389100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,391400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,396000,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,428900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,431900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,442200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,451300,6,"HYDROGEL_PACK,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14,Mark 38","Mark 14,Mark 22"
3,456600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,459800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,483900,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,485500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,498100,6,"HYDROGEL_PACK,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14","Mark 22,Mark 38"
3,511800,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,516400,6,"HYDROGEL_PACK,VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 38","Mark 14,Mark 22"
3,524000,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,529600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,531500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,535400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,535900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,547600,5,"VELVETFRUIT_EXTRACT,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 55","Mark 01,Mark 22"
3,551600,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,555100,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,556400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,565600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,580600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,583100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,584300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,612700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,614800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,621000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,622500,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,624200,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,627700,5,"VEV_5200,VEV_5300,VEV_5400,VEV_6000,VEV_6500",Mark 01,Mark 22
3,631300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,631500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,634500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,642500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,666500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,666700,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,671800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,671900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,678700,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,689900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,699400,7,"HYDROGEL_PACK,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14","Mark 22,Mark 38"
3,700300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,705400,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,708800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,728500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,730000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,741100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,753700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,766900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,777600,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,784100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,785100,5,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_6000,VEV_6500","Mark 01,Mark 55","Mark 14,Mark 22"
3,788300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,793100,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,807400,5,"VELVETFRUIT_EXTRACT,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 55","Mark 14,Mark 22"
3,820200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,826200,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,834400,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,837500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,839800,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,842200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,864100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,868300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,877600,7,"VELVETFRUIT_EXTRACT,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14,Mark 55","Mark 14,Mark 22"
3,878300,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,890900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,894300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,918500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,937000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,937400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,943900,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14,Mark 55","Mark 14,Mark 22"
3,977300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,983300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,997100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
