day,timestamp,fwd_ext_20,fwd_ext_100
1,4500,-4.0,-20.0
1,9600,-5.0,-17.5
1,14800,-4.0,-1.0
1,16700,-4.5,-1.0
1,40400,-2.0,13.0
1,43400,8.5,11.0
1,50700,2.0,2.5
1,52800,-3.0,-3.5
1,74100,3.0,-4.0
1,85300,4.5,8.5
1,86100,3.5,4.5
1,89800,-2.0,4.0
1,120300,6.5,4.5
1,135900,-5.5,-0.5
1,145500,7.0,-12.0
1,150600,-9.0,-13.0
1,153000,-3.0,-2.0
1,170400,-1.0,-2.5
1,170500,1.0,-2.0
1,172500,-5.5,-4.0
1,190100,-1.5,-0.5
1,195600,1.0,11.0
1,235300,5.0,7.5
1,252500,0.0,-10.0
1,304000,-1.5,-8.5
1,310100,-4.0,-25.0
1,322000,2.0,-11.0
1,322600,-4.0,-13.0
1,350300,-1.5,2.0
1,376600,2.0,-1.0
1,377900,3.0,-2.0
1,399700,5.0,-7.0
1,410400,0.0,-8.5
1,428000,-2.0,0.5
1,437100,5.0,19.0
1,455700,-5.0,7.0
1,460400,6.0,4.0
1,476500,-3.0,-15.0
1,489700,5.0,4.0
1,519500,0.0,-5.0
1,524000,-5.0,-13.0
1,553100,2.0,0.5
1,564300,4.5,3.5
1,567200,4.5,2.0
1,568900,-2.0,-4.0
1,574800,1.0,3.5
1,575800,3.5,4.5
1,588200,-4.0,-6.5
1,604600,-4.5,3.5
1,617900,0.0,-6.0
1,618300,-1.5,-5.5
1,624400,-7.0,-22.0
1,636100,-11.0,-15.0
1,642100,-2.0,-14.0
1,654200,-1.0,7.5
1,674000,5.0,5.5
1,684000,2.5,8.5
1,701200,8.0,16.0
1,703200,3.5,18.0
1,710500,6.0,10.0
1,715000,2.0,-3.0
1,720500,-3.0,2.0
1,725000,-8.0,16.0
1,735100,-8.0,-3.0
1,741900,4.0,4.0
1,746300,-4.5,-11.5
1,754200,5.0,7.5
1,760000,-4.0,-9.0
1,785800,4.0,0.0
1,798100,-4.0,-6.0
1,800400,-5.5,-8.0
1,801800,-6.0,-10.0
1,807800,-4.5,-17.5
1,812600,-6.0,7.5
1,848900,-2.0,-1.0
1,851200,9.0,-3.0
1,865400,-5.5,-14.5
1,901100,7.5,11.0
1,921000,3.0,3.0
1,937300,4.0,-12.5
1,943100,-1.0,11.0
1,948500,4.0,16.5
1,950300,7.0,7.0
1,988100,4.0,14.0
2,13100,2.5,1.0
2,20900,-2.5,-10.0
2,23500,2.5,4.5
2,29500,-5.0,-2.0
2,41900,0.0,11.0
2,42900,3.0,7.5
2,45100,1.5,0.5
2,75200,-3.0,13.0
2,79300,7.0,12.0
2,102600,-3.5,-8.5
2,105500,3.5,-5.0
2,129700,2.5,2.5
2,169000,-1.0,3.0
2,171800,3.0,-5.0
2,189100,2.0,2.5
2,204400,6.0,7.0
2,225500,-4.0,5.5
2,239400,11.0,15.0
2,253000,-2.0,12.0
2,268900,-2.5,-7.5
2,275200,-5.0,-2.0
2,287100,-3.0,-7.0
2,287600,-1.5,-9.0
2,289300,-1.0,1.0
2,294600,4.5,1.5
2,316700,-6.0,-14.0
2,317500,0.0,-13.0
2,320800,1.0,-11.0
2,321600,-0.5,-1.5
2,341400,2.0,-12.5
2,347800,-0.5,1.0
2,350700,-7.5,2.5
2,358500,3.5,-3.5
2,362600,-4.0,-8.5
2,365600,2.0,-5.0
2,376300,-5.0,-12.0
2,389000,2.0,-5.5
2,390300,6.0,-5.0
2,398200,1.0,-7.5
2,410200,-5.0,5.0
2,414900,9.0,7.0
2,415500,5.0,9.0
2,423800,5.0,6.0
2,433100,-1.5,-4.5
2,443600,11.5,1.0
2,456200,3.0,-3.0
2,461200,4.5,-1.0
2,483400,-3.5,-4.5
2,495700,0.5,-8.0
2,501900,-5.5,-9.0
2,508800,-0.5,10.5
2,519600,-2.0,0.0
2,554600,-1.0,-5.5
2,555700,-3.0,-5.0
2,566700,-1.0,-4.5
2,575100,-7.0,-16.0
2,587100,3.0,18.0
2,588500,-1.5,22.0
2,593000,3.0,26.0
2,604100,7.0,-0.5
2,622600,3.0,12.0
2,642400,1.0,1.0
2,644500,2.0,6.5
2,666500,5.5,14.5
2,688600,-2.0,-2.0
2,691100,1.0,-6.0
2,711900,-7.0,-21.0
2,726600,2.0,-4.5
2,733200,-1.5,-16.0
2,748500,1.0,2.0
2,763500,5.5,10.0
2,764000,-2.0,6.0
2,779200,-6.0,-2.0
2,793900,-1.0,16.0
2,808800,-9.0,-14.0
2,825900,-3.5,-6.0
2,826400,-0.5,0.0
2,836300,0.0,4.0
2,872600,-1.0,4.0
2,876500,7.0,18.0
2,898600,2.0,-1.5
2,934900,-6.0,-5.0
2,948500,-2.0,-5.0
2,972800,0.0,3.0
2,977300,1.0,13.5
2,977500,1.0,12.5
2,993800,9.0,
3,32900,2.5,-23.0
3,33600,-1.0,-21.0
3,37000,-9.0,-25.5
3,40200,-10.5,-9.5
3,45600,1.0,3.0
3,47200,1.0,6.5
3,54400,3.0,2.0
3,69900,8.0,3.0
3,70100,10.0,5.5
3,70300,7.0,3.0
3,74300,-1.0,-2.5
3,87300,-1.5,6.5
3,92200,-2.5,-1.0
3,98900,0.0,2.0
3,118700,10.0,4.0
3,126600,-2.0,14.0
3,128700,9.0,7.5
3,132100,5.0,-9.0
3,137700,-4.0,-3.0
3,142700,3.0,4.0
3,144800,3.0,0.5
3,155400,-6.0,1.0
3,166000,3.5,9.0
3,218300,4.0,12.0
3,220800,-6.0,9.0
3,222400,1.0,5.0
3,243700,-1.0,7.0
3,250200,-1.0,-6.0
3,253400,-2.5,-14.5
3,269000,-6.5,5.5
3,289400,-7.0,-13.0
3,290900,-1.0,-4.0
3,315800,2.0,3.0
3,317200,-3.0,4.0
3,319700,-3.0,10.5
3,320200,1.5,14.5
3,328700,8.0,0.0
3,329200,6.5,-5.0
3,332600,-5.0,-7.0
3,346200,-6.0,-8.0
3,350300,-4.0,-7.5
3,363100,-1.5,9.5
3,364700,0.0,13.0
3,369800,4.0,16.0
3,370100,6.0,17.0
3,385400,5.0,8.0
3,389100,7.0,9.0
3,391400,0.5,9.5
3,396000,-1.0,-15.0
3,428900,-4.5,-3.0
3,431900,2.0,1.0
3,442200,3.0,-5.0
3,451300,-1.0,1.0
3,456600,-2.0,2.0
3,459800,-2.0,-4.0
3,483900,7.0,1.0
3,485500,-6.0,-9.0
3,498100,-3.0,0.0
3,511800,5.0,2.0
3,516400,-2.0,-6.0
3,524000,0.0,-11.0
3,529600,-1.0,1.0
3,531500,-3.0,5.0
3,535400,4.0,8.0
3,535900,7.0,8.0
3,547600,3.0,12.0
3,551600,5.0,5.0
3,555100,-2.0,4.5
3,556400,-1.0,7.5
3,565600,-0.5,-9.5
3,580600,-1.0,-1.5
3,583100,-5.0,-1.0
3,584300,-6.0,3.0
3,612700,8.0,-9.0
3,614800,-6.5,-10.5
3,621000,3.5,11.5
3,622500,2.0,8.0
3,624200,12.0,10.0
3,627700,-9.5,-4.5
3,631300,-3.5,4.5
3,631500,-4.0,4.0
3,634500,3.0,19.0
3,642500,8.0,13.0
3,666500,-1.0,-4.0
3,671800,11.5,7.0
3,671900,8.0,4.0
3,678700,1.5,-12.5
3,689900,4.5,7.5
3,699400,-1.0,9.5
3,700300,0.0,12.0
3,705400,0.0,12.5
3,708800,11.0,7.5
3,728500,-3.0,-16.0
3,730000,-9.5,-15.0
3,741100,4.0,-9.0
3,753700,4.0,-7.0
3,766900,1.5,-2.5
3,777600,0.5,19.5
3,784100,5.5,6.5
3,785100,5.5,4.5
3,788300,-2.0,1.0
3,793100,1.0,3.5
3,807400,2.0,-2.0
3,820200,0.0,-9.0
3,826200,2.0,-11.5
3,834400,-4.0,0.5
3,837500,2.5,1.0
3,839800,-6.0,4.0
3,842200,6.0,9.0
3,864100,3.0,7.0
3,868300,-3.0,1.5
3,877600,-4.0,-5.0
3,878300,-9.5,-6.0
3,890900,9.0,18.5
3,894300,0.0,14.0
3,918500,5.0,6.0
3,937000,2.0,12.5
3,937400,0.0,15.5
3,943900,2.0,4.0
3,977300,-7.0,-11.0
3,983300,0.0,-7.0
3,997100,0.0,
